id,number,root_word,transliteration,pronunciation,tvm,entry
1646,H1646,&#1490;&#1468;&#1512;&#1513;&#1473;&#1492;,geru&#770;sha&#770;h,gher-oo-shaw',,Feminine passive participle of H1644; (abstractly) <i>dispossession: - </i> exaction.
1647,H1647,&#1490;&#1468;&#1512;&#1513;&#1473;&#1501;,ge&#770;resho&#770;m,gay-resh-ome',,"For H1648; <i>Gereshom</i>, the name of four Israelites: - Gershom."
1648,H1648,&#1490;&#1468;&#1512;&#1513;&#1473;&#1493;&#1503; &#1490;&#1468;&#1512;&#1513;&#1473;&#1493;&#1501;,ge&#770;resho&#770;n  ge&#770;resho&#770;m,"gay-resh-one', gay-resh-ome'",,"From H1644; a <i>refugee</i> ; <i>Gereshon</i>  or <i>Gereshom</i>, an Israelite: - Gershon, Gershom."
1649,H1649,&#1490;&#1468;&#1512;&#1513;&#1473;&#1504;&#1468;&#1497;,ge&#770;reshu&#770;nn&#305;&#770;y,gay-resh-oon-nee',,"Patronymic from H1648; a <i>Gereshonite</i>  or descendant of Gereshon: - Gershonite, sons of Gershon."
1650,H1650,&#1490;&#1468;&#1513;&#1473;&#1493;&#1468;&#1512;,geshu&#770;r,ghesh-oor',,"From an unused root (meaning to <i>join</i>); <i>bridge</i> ; <i>Geshur</i>, a district of Syria: - Geshur, Geshurite."
1651,H1651,&#1490;&#1468;&#1513;&#1473;&#1493;&#1468;&#1512;&#1497;,geshu&#770;r&#305;&#770;y,ghe-shoo-ree',,"Patrial from H1650; a <i>Geshurite</i>  (also collectively) or inhabitant of Geshur: - Geshuri, Geshurites."
1652,H1652,&#1490;&#1468;&#1513;&#1473;&#1501;,ga&#770;sham,gaw-sham',,A primitive root; to <i>shower</i>  violently: - (cause to) rain.
1653,H1653,&#1490;&#1468;&#1513;&#1473;&#1501;,geshem,gheh'-shem,,"From H1652; a <i>shower: - </i> rain, shower."
1654,H1654,&#1490;&#1468;&#1513;&#1473;&#1501; &#1490;&#1468;&#1513;&#1473;&#1502;&#1493;&#1468;,geshem  gashmu&#770;,"gheh'-shem, gash-moo'",,"The same as H1653; <i>Geshem</i>  or <i>Gashmu</i>, an Arabian: - Geshem, Gashmu."
1655,H1655,&#1490;&#1468;&#1513;&#1473;&#1501;,geshem,gheh'-shem,,"(Chaldee); apparently the same as H1653; used in a peculiar sense, the <i>body</i>  (probably for the (figurative) idea of a <i>hard</i>  rain): - body."
1656,H1656,&#1490;&#1468;&#1513;&#1473;&#1501;,go&#770;shem,go'-shem,,From H1652; equivalent to H1653: - rained upon.
1657,H1657,&#1490;&#1468;&#1513;&#1473;&#1503;,go&#770;shen,go'-shen,,"Probably of Egyptian origin; <i>Goshen</i>, the residence of the Israelites in Egypt; also a place in Palestine: - Goshen."
1658,H1658,&#1490;&#1468;&#1513;&#1473;&#1508;&#1468;&#1488;,gishpa&#770;',ghish-paw',,"Of uncertain derivation; <i>Gishpa</i>, an Israelite: - Gispa."
1659,H1659,&#1490;&#1468;&#1513;&#1473;&#1513;&#1473;,ga&#770;shash,gaw-shash',,A primitive root; apparently to <i>feel</i>  about: - grope.
1660,H1660,&#1490;&#1468;&#1514;,gath,gath,,Probably from H5059 (in the sense of <i>treading</i>  out grapes); a wine <i>press</i>  (or vat for holding the grapes in pressing them): - (wine-) press (fat).
1661,H1661,&#1490;&#1468;&#1514;,gath,gath,,"The same as H1660; <i>Gath</i>, a Philistine city: - Gath."
1662,H1662,&#1490;&#1468;&#1514;&#1470;&#1492;&#1495;&#1508;&#1512; &#1490;&#1468;&#1514;&#1468;&#1492;&#1470;&#1495;&#1508;&#1512;,gath-hache&#770;pher  gitta&#770;h-che&#770;pher,"gath-hah-khay'-fer, ghit-taw-khay'-fer",,"From H1660 and H2658 with the article inserted; <i>wine press of</i>  (<i>the</i>) <i>well</i> ; <i>Gath Chepher</i>, a place in Palestine: - Gath-kephr, Gittah-kephr."
1663,H1663,&#1490;&#1468;&#1514;&#1468;&#1497;,gitt&#305;&#770;y,ghit-tee',,Patrial from H1661; a <i>Gittite</i>  or inhabitant of Gath: - Gittite.
1664,H1664,&#1490;&#1468;&#1514;&#1468;&#1497;&#1501;,gittayim,ghit-tah'-yim,,"Dual of H1660; <i>double wine press</i> ; <i>Gittajim</i>, a place in Palestine: - Gittaim."
1665,H1665,&#1490;&#1468;&#1514;&#1468;&#1497;&#1514;,gitt&#305;&#770;yth,ghit-teeth',,Feminine of H1663; a <i>Gittite</i>  harp: - Gittith.
1666,H1666,&#1490;&#1468;&#1514;&#1512;,gether,gheh'-ther,,"Of uncertain derivation; <i>Gether</i>, a son of Aram, and the region settled by him: - Gether."
1667,H1667,&#1490;&#1468;&#1514;&#1470;&#1512;&#1502;&#1468;&#1493;&#1503;,gath-rimmo&#770;n,gath-rim-mone',,"From H1660 and H7416; <i>wine press of</i>  (the) <i>pomegranate</i> ; <i>Gath Rimmon</i>, a place in Palestine: - Gath-rimmon."
1668,H1668,&#1491;&#1468;&#1488;,da&#770;',daw,,"(Chaldee); corresponding to H2088; <i>this: - </i> one. .. another, this."
1669,H1669,&#1491;&#1468;&#1488;&#1489;,da&#770;'ab,daw-ab',,"A primitive root; to <i>pine: - </i> mourn, sorrow (-ful)."
1670,H1670,&#1491;&#1468;&#1488;&#1489;&#1492;,de'a&#770;ba&#770;h,deh-aw-baw',,From H1669; properly <i>pining</i> ; by analogy <i>fear: - </i> sorrow.
1671,H1671,&#1491;&#1468;&#1488;&#1489;&#1493;&#1503;,de'a&#770;bo&#770;n,deh-aw-bone',,From H1669; <i>pining: - </i> sorrow.
1672,H1672,&#1491;&#1468;&#1488;&#1490;,da&#770;'ag,daw-ag',,"A primitive root; <i>be anxious: - </i> be afraid (careful, sorry), sorrow, take thought."
1673,H1673,&#1491;&#1468;&#1488;&#1490; &#1491;&#1468;&#1493;&#1488;&#1490;,do&#770;'e&#770;g  do&#770;'e&#770;g,"do-ayg', do-ayg'",,"Active participle of H1672; <i>anxious</i> ; <i>Doeg</i>, an Edomite: - Doeg."
1674,H1674,&#1491;&#1468;&#1488;&#1490;&#1492;,de'a&#770;ga&#770;h,deh-aw-gaw',,"From H1672; <i>anxiety: - </i> care (-fulness), fear, heaviness, sorrow."
1675,H1675,&#1491;&#1468;&#1488;&#1492;,da&#770;'a&#770;h,daw-aw',,"A primitive root; to <i>dart</i>, that is, <i>fly</i>  rapidly: - fly."
1676,H1676,&#1491;&#1468;&#1488;&#1492;,da&#770;'a&#770;h,daw-aw',,From H1675; the <i>kite</i>  (from its rapid <i>flight</i>): - vulture. See H7201.
1677,H1677,&#1491;&#1468;&#1489; &#1491;&#1468;&#1493;&#1489;,do&#770;b  do&#770;b,"dobe, dobe",,From H1680; the <i>bear</i>  (as slow): - bear.
1678,H1678,&#1491;&#1468;&#1489;,do&#770;b,dobe,,(Chaldee); corresponding to H1677: - bear.
1679,H1679,&#1491;&#1468;&#1489;&#1488;,do&#770;be',do'-beh,,"From an unused root (compare H1680) (probably meaning to <i>be sluggish</i>, that is, <i>restful</i>); <i>quiet: - </i> strength."
1680,H1680,&#1491;&#1468;&#1489;&#1489;,da&#770;bab,daw-bab',,"A primitive root (compare H1679); to <i>move</i>  slowly, that is, <i>glide: - </i> cause to speak."
1681,H1681,&#1491;&#1468;&#1489;&#1468;&#1492;,dibba&#770;h,dib-baw',,"From H1680 (in the sense of <i>furtive</i>  motion); <i>slander: - </i> defaming, evil report, infamy, slander."
1682,H1682,&#1491;&#1468;&#1489;&#1493;&#1512;&#1492; &#1491;&#1468;&#1489;&#1512;&#1492;,debo&#770;ra&#770;h  debo&#770;ra&#770;h,"deb-o-raw', deb-o-raw'",,From H1696 (in the sense of <i>orderly</i>  motion); the <i>bee</i>  (from its <i>systematic</i>  instincts): - bee.
1683,H1683,&#1491;&#1468;&#1489;&#1493;&#1512;&#1492; &#1491;&#1468;&#1489;&#1512;&#1492;,debo&#770;ra&#770;h  debo&#770;ra&#770;h,"deb-o-raw', deb-o-raw'",,"The same as H1682; <i>Deborah</i>, the name of two Hebrewesses: - Deborah."
1684,H1684,&#1491;&#1468;&#1489;&#1495;,debach,deb-akh',,(Chaldee); corresponding to H2076; to <i>sacrifice</i>  (an animal): - offer [sacrifice].
1685,H1685,&#1491;&#1468;&#1489;&#1495;,debach,deb-akh',,(Chaldee); from H1684; a <i>sacrifice: - </i> sacrifice.
1686,H1686,&#1491;&#1468;&#1489;&#1497;&#1493;&#1503; &#1495;&#1512;&#1497;&#1493;&#1503;,dibyo&#770;n  cheryo&#770;n,"dib-yone', kher-yone'",,"Both (in the plural only and) of uncertain derivation; probably some cheap vegetable, perhaps a bulbous root: - dove's dung."
1687,H1687,&#1491;&#1468;&#1489;&#1497;&#1512; &#1491;&#1468;&#1489;&#1512;,deb&#305;&#770;yr  debir,"deb-eer', deb-eer'",,From H1696 (apparently in the sense of <i>oracle</i>); the <i>shrine</i>  or innermost part of the sanctuary: - oracle.
1688,H1688,&#1491;&#1468;&#1489;&#1497;&#1512; &#1491;&#1468;&#1489;&#1512;,deb&#305;&#770;yr  debir,"deb-eer', deb-eer'",,"The second form used in Jos_13:26 (but see H3810); the same as H1687; <i>Debir</i>, the name of an Amoritish king and of two places in Palestine: - Debir."
1689,H1689,&#1491;&#1468;&#1489;&#1500;&#1492;,dibla&#770;h,dib-law',,"Probably an orthographical error for H7247; <i>Diblah</i>, a place in Syria: - Diblath."
1690,H1690,&#1491;&#1468;&#1489;&#1500;&#1492;,debe&#770;la&#770;h,deb-ay-law',,From an unused root (akin to H2082) probably meaning to <i>press</i>  together; a <i>cake</i>  of pressed figs: - cake (lump) of figs.
1691,H1691,&#1491;&#1468;&#1489;&#1500;&#1497;&#1501;,diblayim,dib-lah'-yim,,"Dual from the masculine of H1690; <i>two cakes</i> ; <i>Diblajim</i>, a symbolical name: - Diblaim."
1692,H1692,&#1491;&#1468;&#1489;&#1511;,da&#770;baq,daw-bak',,"A primitive root; properly to <i>impinge</i>, that is, <i>cling</i>  or <i>adhere</i> ; figuratively to <i>catch</i>  by pursuit: - abide, fast, cleave (fast together), follow close (hard, after), be joined (together), keep (fast), overtake, pursue hard, stick, take."
1693,H1693,&#1491;&#1468;&#1489;&#1511;,debaq,deb-ak',,(Chaldee); corresponding to H1692; to <i>stick</i>  to: - cleave.
1694,H1694,&#1491;&#1468;&#1489;&#1511;,debeq,deh'-bek,,"From H1692; a <i>joint</i> ; by implication <i>solder: - </i> joint, solder."
1695,H1695,&#1491;&#1468;&#1489;&#1511;,da&#770;be&#770;q,daw-bake',,"From H1692; <i>adhering: - </i> cleave, joining, stick closer."
1696,H1696,&#1491;&#1468;&#1489;&#1512;,da&#770;bar,daw-bar',,"A primitive root; perhaps properly to <i>arrange</i> ; but used figuratively (of words) to <i>speak</i> ; rarely (in a destructive sense) to <i>subdue: - </i> answer, appoint, bid, command, commune, declare, destroy, give, name, promise, pronounce, rehearse, say, speak, be spokesman, subdue, talk, teach, tell, think, use [entreaties], utter, X well, X work."
1697,H1697,&#1491;&#1468;&#1489;&#1512;,da&#770;ba&#770;r,daw-bawr',,"From H1696; a <i>word</i> ; by implication a <i>matter</i>  (as <i>spoken</i>  of) of <i>thing</i> ; adverbially a <i>cause: - </i> act, advice, affair, answer, X any such (thing), + because of, book, business, care, case, cause, certain rate, + chronicles, commandment, X commune (-ication), + concern [-ing], + confer, counsel, + dearth, decree, deed, X disease, due, duty, effect, + eloquent, errand, [evil favoured-] ness, + glory, + harm, hurt, + iniquity, + judgment, language, + lying, manner, matter, message, [no] thing, oracle, X ought, X parts, + pertaining, + please, portion, + power, promise, provision, purpose, question, rate, reason, report, request, X (as hast) said, sake, saying, sentence, + sign, + so, some [uncleanness], somewhat to say, + song, speech, X spoken, talk, task, + that, X there done, thing (concerning), thought, + thus, tidings, what [-soever], + wherewith, which, word, work."
1698,H1698,&#1491;&#1468;&#1489;&#1512;,deber,deh'-ber,,"From H1696 (in the sense of <i>destroying</i>); a pestilence: - murrain, pestilence, plague."
1699,H1699,&#1491;&#1468;&#1489;&#1512; &#1491;&#1468;&#1489;&#1468;&#1512;,do&#770;ber  dibbe&#770;r,"do'-ber, dib-bare'",,"The first form is from H1696 (in its original sense); a <i>pasture</i>  (from its <i>arrangement</i>  of the flock); translated <i>fold</i>  or <i>manner</i>. The second form is for H1697; translated <i>word: - </i> fold, manner."
1700,H1700,&#1491;&#1468;&#1489;&#1512;&#1492;,dibra&#770;h,dib-raw',,"Feminine of H1697; a <i>reason, suit</i>  or <i>style: - </i> cause, end, estate, order, regard."
1701,H1701,&#1491;&#1468;&#1489;&#1512;&#1492;,dibra&#770;h,dib-raw',,"(Chaldee); corresponding to H1700: - intent, sake."
1702,H1702,&#1491;&#1468;&#1489;&#1512;&#1492;,do&#770;bera&#770;h,do-ber-aw',,Feminine active participle of H1696 in the sense of <i>driving</i>  (compare H1699); a <i>raft: - </i> float.
1703,H1703,&#1491;&#1468;&#1489;&#1468;&#1512;&#1492;,dabba&#770;ra&#770;h,dab-baw-raw',,Intensive from H1696; a <i>word: - </i> word.
1704,H1704,&#1491;&#1468;&#1489;&#1512;&#1497;,dibr&#305;&#770;y,dib-ree',,"From H1697; <i>wordy</i> ; <i>Dibri</i>, an Israelite: - Dibri."
1705,H1705,&#1491;&#1468;&#1489;&#1512;&#1514;,da&#770;berath,daw-ber-ath',,"From H1697 (perhaps in the sense of H1699); <i>Daberath</i>, a place in Palestine: - Dabareh, Daberath."
1706,H1706,&#1491;&#1468;&#1489;&#1513;&#1473;,debash,deb-ash',,From an unused root meaning to <i>be gummy</i> ; <i>honey</i>  (from its <i>stickiness</i>); by analogy <i>syrup: - </i> honey ([-comb]).
1707,H1707,&#1491;&#1468;&#1489;&#1468;&#1513;&#1473;&#1514;,dabbesheth,dab-beh'-sheth,,"Intensive from the same as H1706; a sticky <i>mass</i>, that is, the <i>hump</i>  of a camel: - hunch [of a camel]."
1708,H1708,&#1491;&#1468;&#1489;&#1468;&#1513;&#1473;&#1514;,dabbesheth,dab-beh'-sheth,,"The same as H1707; <i>Dabbesheth</i>, a place in Palestine: - Dabbesheth."
1709,H1709,&#1491;&#1468;&#1490;&#1491;&#1468;&#1488;&#1490;o,da&#770;g  da&#770;'g,"dawg,   dawg",,"From H1711; a fish (as <i>prolific</i>); or perhaps rather from H1672 (as <i>timid</i>); but still better from H1672 (in the sense of <i>squirming</i>, that is, moving by the vibratory action of the tail); a <i>fish</i>  (often used collectively): - fish."
1710,H1710,&#1491;&#1468;&#1490;&#1492;,da&#770;ga&#770;h,daw-gaw',,"Feminine of H1709, and meaning the same: - fish."
1711,H1711,&#1491;&#1468;&#1490;&#1492;,da&#770;ga&#770;h,daw-gaw',,"A primitive root; to <i>move rapidly</i> ; used only as a denominative from H1709; to <i>spawn</i>, that is, <i>become numerous: - </i> grow."
1712,H1712,&#1491;&#1468;&#1490;&#1493;&#1503;,da&#770;go&#770;n,daw-gohn',,"From H1709; the <i>fish god</i> ; <i>Dagon</i>, a Philistine deity: - Dagon."
1713,H1713,&#1491;&#1468;&#1490;&#1500;,da&#770;gal,daw-gal',,"A primitive root; to <i>flaunt</i>, that is, <i>raise a flag</i> ; figuratively to <i>be conspicuous: - </i> (set up, with) banners, chiefest."
1714,H1714,&#1491;&#1468;&#1490;&#1500;,degel,deh'-gel,,"From H1713; a <i>flag: - </i> banner, standard."
1715,H1715,&#1491;&#1468;&#1490;&#1503;,da&#770;ga&#770;n,daw-gawn',,"From H1711; properly <i>increase</i>, that is, <i>grain: - </i> corn ([floor]), wheat."
1716,H1716,&#1491;&#1468;&#1490;&#1512;,da&#770;gar,daw-gar',,"A primitive root; to <i>brood</i>  over eggs or young: - gather, sit."
1717,H1717,&#1491;&#1468;&#1491;,dad,dad,,"Apparently from the same as H1730; the <i>breast</i>  (as the seat of <i>love</i>, or from its shape): - breast, teat."
1718,H1718,&#1491;&#1468;&#1491;&#1492;,da&#770;da&#770;h,daw-daw',,"A doubtful root; to <i>walk gently: - </i> go (softly, with)."
1719,H1719,&#1491;&#1468;&#1491;&#1503; &#1491;&#1468;&#1491;&#1504;&#1492;,deda&#770;n  deda&#770;neh,"ded-awn', deh-daw'-neh",,"Of uncertain derivation; <i>Dedan</i>, the name of two Cushites and of their territory. The second form used in Eze_25:13: - Dedan."
1720,H1720,&#1491;&#1468;&#1491;&#1504;&#1497;&#1501;,deda&#770;n&#305;&#770;ym,ded-aw-neem',,"Plural of H1719 (as patrial); <i>Dedanites</i>, the descendants or inhabitants of Dedan: - Dedanim."
1721,H1721,&#1491;&#1468;&#1491;&#1504;&#1497;&#1501; &#1512;&#1491;&#1504;&#1497;&#1501;,do&#770;da&#770;n&#305;&#770;ym  ro&#770;da&#770;n&#305;&#770;ym,"do-daw-neem', ro-daw-neem'",,"The second form is used by orthographical error in 1Ch_1:7. A plural of uncertain derivation; <i>Dodanites</i>, or descendants of a son of Javan: - Dodanim."
1722,H1722,&#1491;&#1468;&#1492;&#1489;,dehab,deh-hab',,(Chaldee); corresponding to H2091; <i>gold: - </i> gold (-en).
1723,H1723,&#1491;&#1468;&#1492;&#1493;&#1488;,daha&#774;va&#770;',dah-hav-aw',,"(Chaldee); of uncertain derivation; <i>Dahava</i>, a people colonized in Samaria: - Dehavites."
1724,H1724,&#1491;&#1468;&#1492;&#1501;,da&#770;ham,daw-ham',,"A primitive root (compare H1740); to <i>be dumb</i>, that is, (figuratively) <i>dumbfounded: - </i> be astonished."
1725,H1725,&#1491;&#1468;&#1492;&#1512;,da&#770;har,daw-har',,A primitive root; to <i>curvet</i>  or move irregularly: - pranse.
1726,H1726,&#1491;&#1468;&#1492;&#1492;&#1512;,daha&#774;har,dah-hah-har',,By reduplication from H1725; a <i>gallop: - </i> pransing.
1727,H1727,&#1491;&#1468;&#1493;&#1468;&#1489;,du&#770;b,doob,,"A primitive root; to <i>mope</i>, that is, (figuratively) <i>pine: - </i> sorrow."
1728,H1728,&#1491;&#1468;&#1493;&#1468;&#1490;,davva&#770;g,dav-vawg',,An orthographical variation of H1709 as a denominative (H1771); a <i>fisherman: - </i> fisher.
1729,H1729,&#1491;&#1468;&#1493;&#1468;&#1490;&#1492;,du&#770;ga&#770;h,doo-gaw',,"Feminine from the same as H1728; properly <i>fishery</i>, that is, a <i>hook</i>  for fishing: - fish [hook]."
1730,H1730,&#1491;&#1468;&#1493;&#1491; &#1491;&#1468;&#1491;,do&#770;d  do&#770;d,"dode, dode",,"From an unused root meaning properly to <i>boil</i>, that is, (figuratively) to <i>love</i> ; by implication a <i>love token, lover, friend</i> ; specifically an <i>uncle: - </i> (well-) beloved, father's brother, love, uncle."
1731,H1731,&#1491;&#1468;&#1493;&#1468;&#1491;,du&#770;d,dood,,"From the same as H1730; a <i>pot</i>  (for <i>boiling</i>); also (by resemblance of shape) a <i>basket: - </i> basket, caldron, kettle, (seething) pot."
1732,H1732,&#1491;&#1468;&#1493;&#1491; &#1491;&#1468;&#1493;&#1497;&#1491;,da&#770;vid  da&#770;v&#305;&#770;yd,"daw-veed', daw-veed'",,"From the same as H1730; <i>loving</i> ; <i>David</i>, the youngest son of Jesse: - David."
1733,H1733,&#1491;&#1468;&#1493;&#1491;&#1492;,do&#770;da&#770;h,do-daw',,"Feminine of H1730; an <i>aunt: - </i> aunt, father's sister, uncle's wife."
1734,H1734,&#1491;&#1468;&#1493;&#1491;&#1493;,do&#770;do&#770;,do-do',,"From H1730; <i>loving</i> ; <i>Dodo</i>, the name of three Israelites: - Dodo."
1735,H1735,&#1491;&#1468;&#1493;&#1491;&#1493;&#1492;&#1493;&#1468;,do&#770;da&#770;va&#770;hu&#770;,do-daw-vaw'-hoo,,"From H1730 and H3050; <i>love of Jah</i> ; <i>Dodavah</i>, an Israelite: - Dodavah."
1736,H1736,&#1491;&#1468;&#1493;&#1468;&#1491;&#1497;,du&#770;day,doo-dah'-ee,,"From H1731; a <i>boiler</i>  or <i>basket</i> ; also the <i>mandrake</i>  (as <i>aphrodisiac</i>): - basket, mandrake."
1737,H1737,&#1491;&#1468;&#1493;&#1491;&#1497;,do&#770;day,do-dah'ee,,"Formed like H1736; <i>amatory</i> ; <i>Dodai</i>, an Israelite: - Dodai."
1738,H1738,&#1491;&#1468;&#1493;&#1492;,da&#770;va&#770;h,daw-vaw',,A primitive root; to <i>be sick</i>  (as if in menstruation): - infirmity.
1739,H1739,&#1491;&#1468;&#1493;&#1492;,da&#770;veh,daw-veh',,"From H1738; <i>sick</i>  (especially in menstruation): - faint, menstruous cloth, she that is sick, having sickness."
1740,H1740,&#1491;&#1468;&#1493;&#1468;&#1495;,du&#770;ach,doo'-akh,,"A primitive root; to <i>thrust</i>  away; figuratively to <i>cleanse: - </i> cast out, purge, wash."
1741,H1741,&#1491;&#1468;&#1493;&#1497;,devay,dev-ah'ee,,"From H1739; <i>sickness</i> ; figuratively <i>loathing: - </i> languishing, sorrowful."
1742,H1742,&#1491;&#1468;&#1493;&#1468;&#1497;,davva&#770;y,dav-voy',,From H1739; <i>sick</i> ; figuratively <i>troubled: - </i> faint.
1743,H1743,&#1491;&#1468;&#1493;&#1468;&#1498;,du&#770;k,dook,,A primitive root; to <i>bruise</i>  in a mortar: - beat.
1744,H1744,&#1491;&#1468;&#1493;&#1468;&#1499;&#1468;&#1497;&#1508;&#1514;,du&#770;k&#305;&#770;yphath,doo-kee-fath',,Of uncertain derivation; the <i>hoopoe</i>  or else the <i>grouse: - </i> lapwing.
1745,H1745,&#1491;&#1468;&#1493;&#1468;&#1502;&#1492;,du&#770;ma&#770;h,doo-maw',,From an unused root meaning to <i>be dumb</i>  (compare H1820); <i>silence</i> ; figuratively <i>death: - </i> silence.
1746,H1746,&#1491;&#1468;&#1493;&#1468;&#1502;&#1492;,du&#770;ma&#770;h,doo-maw',,"The same as H1745; <i>Dumah</i>, a tribe and region of Arabia: - Dumah."
1747,H1747,&#1491;&#1468;&#1493;&#1468;&#1502;&#1497;&#1468;&#1492;,du&#770;m&#305;&#770;ya&#770;h,doo-me-yaw',,"From H1820; <i>stillness</i> ; adverbially <i>silently</i> ; abstractly <i>quiet, trust: - </i> silence, silent, waiteth."
1748,H1748,&#1491;&#1468;&#1493;&#1468;&#1502;&#1501;,du&#770;ma&#770;m,doo-mawm',,"From H1826; <i>still</i> ; adverbially <i>silently: - </i> dumb, silent, quietly wait."
1749,H1749,&#1491;&#1468;&#1493;&#1504;&#1490;,do&#770;nag,do-nag',,Of uncertain derivation; <i>wax: - </i> wax.
1750,H1750,&#1491;&#1468;&#1493;&#1468;&#1509;,du&#770;ts,doots,,A primitive root; to <i>leap: - </i> be turned.
1751,H1751,&#1491;&#1468;&#1493;&#1468;&#1511;,du&#770;q,dook,,(Chaldee); corresponding to H1854; to <i>crumble: - </i> be broken to pieces.
1752,H1752,&#1491;&#1468;&#1493;&#1468;&#1512;,du&#770;r,dure,,"A primitive root; properly to <i>gyrate</i>  (or move in a circle), that is, to <i>remain: - </i> dwell."
1753,H1753,&#1491;&#1468;&#1493;&#1468;&#1512;,du&#770;r,dure,,(Chaldee); corresponding to H1752; to <i>reside: - </i> dwell.
1754,H1754,&#1491;&#1468;&#1493;&#1468;&#1512;,du&#770;r,dure,,"From H1752; a <i>circle, ball</i>  or <i>pile: - </i> ball, turn, round about."
1755,H1755,&#1491;&#1468;&#1493;&#1512; &#1491;&#1468;&#1512;,do&#770;r  do&#770;r,"dore, dore",,"From H1752; properly a <i>revolution</i>  of time, that is, an <i>age</i>  or generation; also a <i>dwelling: - </i> age, X evermore, generation, [n-]ever, posterity."
1756,H1756,&#1491;&#1468;&#1493;&#1512; &#1491;&#1468;&#1488;&#1512;,do&#770;r  do&#770;'r,"dore, dore",,"From H1755; <i>dwelling</i> ; <i>Dor</i>, a place in Palestine: - Dor."
1757,H1757,&#1491;&#1468;&#1493;&#1468;&#1512;&#1488;,du&#770;ra&#770;',doo-raw',,"(Chaldee); probably from H1753; <i>circle</i>  or <i>dwelling</i> ; <i>Dura</i>, a place in Babylon: - Dura."
1758,H1758,&#1491;&#1468;&#1493;&#1468;&#1513;&#1473; &#1491;&#1468;&#1493;&#1513;&#1473; &#1491;&#1468;&#1497;&#1513;&#1473;,du&#770;sh  do&#770;sh  d&#305;&#770;ysh,"doosh, dosh, deesh",,"A primitive root; to <i>trample</i>  or <i>thresh: - </i> break, tear, thresh, tread out (down), at grass [Jer. H50 : H11, by mistake for H1877]."
1759,H1759,&#1491;&#1468;&#1493;&#1468;&#1513;&#1473;,du&#770;sh,doosh,,(Chaldee); corresponding to H1758; to <i>trample: - </i> tread down.
1760,H1760,&#1491;&#1468;&#1495;&#1492; &#1491;&#1468;&#1495;&#1495;,da&#770;cha&#770;h  da&#770;chach,"daw-khaw', daw-khakh'",,"A primitive root; to <i>push</i>  down: - chase, drive away (on), overthrow, outcast, X sore, thrust, totter."
1761,H1761,&#1491;&#1468;&#1495;&#1493;&#1492;,dacha&#774;va&#770;h,dakh-av-aw',,(Chaldee); from the equivalent of H1760; probably a musical <i>instrument</i>  (as being <i>struck</i>): - instrument of music.
1762,H1762,&#1491;&#1468;&#1495;&#1497;,dech&#305;&#770;y,deh-khee',,"From H1760; a <i>push</i>, that is, (by implication) a <i>fall: - </i> falling."
1763,H1763,&#1491;&#1468;&#1495;&#1500;,dechal,deh-khal',,"(Chaldee); corresponding to H2119; to <i>slink</i>, that is, (by implication) to <i>fear</i>, or (causatively) <i>be formidable: - </i> make afraid, dreadful, fear, terrible."
1764,H1764,&#1491;&#1468;&#1495;&#1503;,do&#770;chan,do'-khan,,Of uncertain derivation; <i>millet: - </i> millet.
1765,H1765,&#1491;&#1468;&#1495;&#1507;,da&#770;chaph,daw-khaf',,"A primitive root; to <i>urge</i>, that is, <i>hasten: - </i> (be) haste (-ned), pressed on."
1766,H1766,&#1491;&#1468;&#1495;&#1511;,da&#770;chaq,daw-khak',,"A primitive root; to <i>press</i>, that is, <i>oppress: - </i> thrust, vex."
1767,H1767,&#1491;&#1468;&#1497;,day,dahee,,"Of uncertain derivation; <i>enough</i>  (as noun or adverb), used chiefly with preposition in phrases: - able, according to, after (ability), among, as (oft as), (more than) enough, from, in, since, (much as is) sufficient (-ly), too much, very, when."
1768,H1768,&#1491;&#1468;&#1497;,d&#305;&#770;y,dee,,"(Chaldee); apparently for H1668; <i>that</i>, used as relative, conjugational, and especially (with preposition) in adverbial phrases; also as a preposition <i>of: - </i>  X as, but, for (-asmuch +), + now, of, seeing, than, that, therefore, until, + what (-soever), when, which, whom, whose."
1769,H1769,&#1491;&#1468;&#1497;&#1489;&#1493;&#1503; &#1491;&#1468;&#1497;&#1489;&#1503;,d&#305;&#770;ybo&#770;n  d&#305;&#770;ybo&#770;n,"dee-bone', dee-bone'",,"From H1727; <i>pining</i> ; <i>Dibon</i>, the name of three places in Palestine. Also, with H1410 added, Dibon-gad: - Dibon, the name of three places in Palestine - Dibon. [Also, with H1410 added, Dibon-gad.]"
1770,H1770,&#1491;&#1468;&#1497;&#1490;,d&#305;&#770;yg,deeg,,Denominative from H1709; to <i>fish: - </i> fish.
1771,H1771,&#1491;&#1468;&#1497;&#1468;&#1490;,daya&#770;g,dah-yawg',,From H1770; a <i>fisherman: - </i> fisher.
1772,H1772,&#1491;&#1468;&#1497;&#1468;&#1492;,daya&#770;h,dah-yaw',,Intensive from H1675; a <i>falcon</i>  (from its <i>rapid</i>  flight): - vulture.
1773,H1773,&#1491;&#1468;&#1497;&#1493;,deyo&#770;,deh-yo',,Of uncertain derivation; <i>ink: - </i> ink.
1774,H1774,&#1494;&#1492;&#1489; &#1491;&#1468;&#1497;,d&#305;&#770;y za&#770;ha&#770;b,dee zaw-hawb',,"As if from H1768 and H2091; <i>of gold</i> ; <i>Dizahab</i>, a place in the Desert: - Dizahab."
